"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"11";"Lyoto Machida entrena con Steven Seagal https://t.co/ul866R2upz #kendo";FALSE;0;NA;2017-11-09 08:43:29;FALSE;NA;"928543552367415296";NA;"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>";"amarciales_eu";0;FALSE;FALSE;NA;NA
"12";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 08:29:24;FALSE;NA;"928540011363889152";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"siN5wxavier";9;TRUE;FALSE;NA;NA
"13";"Max and Dan will, if called upon, defend us from the forces of evil. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> 

#verstappen #dr3 
#f1 #braziliangp… https://t.co/PlCtwQjmWx";FALSE;9;NA;2017-11-09 07:20:33;TRUE;NA;"928522683737706496";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"MayorofShimtown";1;FALSE;FALSE;NA;NA
"14";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 07:15:50;FALSE;NA;"928521496296701952";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"BudoCalendar";9;TRUE;FALSE;NA;NA
"15";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 06:56:40;FALSE;NA;"928516673291763712";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"samurai_1967";9;TRUE;FALSE;NA;NA
"16";"WebUI Tip 49

How to make a nice button with transition effects using just a few classes.

#ux #uxdesign #Webdesign… https://t.co/gH96Zc4b2O";FALSE;8;NA;2017-11-09 06:40:43;TRUE;NA;"928512659795963904";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"asyncdesign";4;FALSE;FALSE;NA;NA
"17";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 06:14:02;FALSE;NA;"928505943666466816";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"kendo_karaken";9;TRUE;FALSE;NA;NA
"18";"<U+30D6><U+30ED><U+30B0><U+3092><U+66F4><U+65B0><U+3057><U+307E><U+3057><U+305F>: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> https://t.co/zELRgE3Pf8 #<U+5263><U+9053> #kendo";FALSE;1;NA;2017-11-09 05:48:06;FALSE;NA;"928499417123979264";NA;"<a href=""http://blog.fc2.com/"" rel=""nofollow"">FC2 Blog Notify</a>";"okakenhiratsuka";0;FALSE;FALSE;NA;NA
"19";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 04:37:44;FALSE;NA;"928481707803545600";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"otoyoshikurewo";9;TRUE;FALSE;NA;NA
"20";"RT @ajkendof: <U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A><U+306E><U+300C><U+5927><U+4F1A><U+5F53><U+65E5><U+306E><U+6765><U+5834><U+8005><U+306B><U+3064><U+3044><U+3066><U+300D><U+3092><U+516C><U+5F0F>HP<U+306B><U+63B2><U+8F09><U+3044><U+305F><U+3057><U+307E><U+3057><U+305F><U+3002><U+3054><U+89A7><U+304F><U+3060><U+3055><U+3044><U+3002> https://t.co/szzYmLE6s0 #kendo #<U+5263><U+9053> https://t.co/5Mpy7uFthh";FALSE;0;NA;2017-11-09 04:35:52;FALSE;NA;"928481238444212224";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"khjlogan";9;TRUE;FALSE;NA;NA
